condition,reference_label,target_label,count,share_among_disagreements,within_reference_rate,low_n
bare,statement,confirmation,7,0.5833333333333334,0.20588235294117646,True
bare,statement,neutral,1,0.08333333333333333,0.029411764705882353,True
bare,statement,distractor,4,0.3333333333333333,0.11764705882352941,True
bare,confirmation,statement,0,0.0,,True
bare,confirmation,neutral,0,0.0,,True
bare,confirmation,distractor,0,0.0,,True
bare,neutral,statement,0,0.0,,True
bare,neutral,confirmation,0,0.0,,True
bare,neutral,distractor,0,0.0,,True
bare,distractor,statement,0,0.0,0.0,True
bare,distractor,confirmation,0,0.0,0.0,True
bare,distractor,neutral,0,0.0,0.0,True
ba,statement,confirmation,0,0.0,0.0,True
ba,statement,neutral,0,0.0,0.0,True
ba,statement,distractor,1,0.07692307692307693,1.0,True
ba,confirmation,statement,9,0.6923076923076923,0.3333333333333333,False
ba,confirmation,neutral,0,0.0,0.0,True
ba,confirmation,distractor,2,0.15384615384615385,0.07407407407407407,True
ba,neutral,statement,0,0.0,0.0,True
ba,neutral,confirmation,1,0.07692307692307693,1.0,True
ba,neutral,distractor,0,0.0,0.0,True
ba,distractor,statement,0,0.0,0.0,True
ba,distractor,confirmation,0,0.0,0.0,True
ba,distractor,neutral,0,0.0,0.0,True
ma,statement,confirmation,0,0.0,,True
ma,statement,neutral,0,0.0,,True
ma,statement,distractor,0,0.0,,True
ma,confirmation,statement,0,0.0,0.0,True
ma,confirmation,neutral,2,0.1,0.5,True
ma,confirmation,distractor,1,0.05,0.25,True
ma,neutral,statement,3,0.15,0.13043478260869565,True
ma,neutral,confirmation,12,0.6,0.5217391304347826,False
ma,neutral,distractor,1,0.05,0.043478260869565216,True
ma,distractor,statement,1,0.05,1.0,True
ma,distractor,confirmation,0,0.0,0.0,True
ma,distractor,neutral,0,0.0,0.0,True
overall,statement,confirmation,7,0.15555555555555556,0.2,True
overall,statement,neutral,1,0.022222222222222223,0.02857142857142857,True
overall,statement,distractor,5,0.1111111111111111,0.14285714285714285,True
overall,confirmation,statement,9,0.2,0.2903225806451613,False
overall,confirmation,neutral,2,0.044444444444444446,0.06451612903225806,True
overall,confirmation,distractor,3,0.06666666666666667,0.0967741935483871,True
overall,neutral,statement,3,0.06666666666666667,0.125,True
overall,neutral,confirmation,13,0.28888888888888886,0.5416666666666666,False
overall,neutral,distractor,1,0.022222222222222223,0.041666666666666664,True
overall,distractor,statement,1,0.022222222222222223,0.3333333333333333,True
overall,distractor,confirmation,0,0.0,0.0,True
overall,distractor,neutral,0,0.0,0.0,True
