family_id,item_id,condition,context_text,target_sentence,option_A,option_B,option_C,option_D,option_semantic_map,gold_semantic,gold_letter,design_gold_semantic,gold_shifted,margin,stable_keep_all_pools,collapse_pair,collapse_label
F06,F06_bare,bare,佳佳和兰兰吃饭时聊到了共同认识的朋友涵涵，聊到她去过很多地方旅游。提到欧洲旅游时，佳佳说了一句：,她去过巴黎,佳佳羡慕涵涵去过很多地方,佳佳比较确定涵涵去过巴黎，是在告诉兰兰,佳佳倾向于认为涵涵去过巴黎，但不完全确定，希望兰兰确认,佳佳只是在询问涵涵有没有去过巴黎，没有明显倾向,A:distractor|B:statement|C:confirmation|D:neutral,statement,B,statement,False,3,False,bare=ba,statement
F06,F06_ba,ba,佳佳和兰兰吃饭时聊到了共同认识的朋友涵涵，聊到她去过很多地方旅游。提到欧洲旅游时，佳佳说了一句：,她去过巴黎吧,佳佳羡慕涵涵去过很多地方,佳佳比较确定涵涵去过巴黎，是在告诉兰兰,佳佳倾向于认为涵涵去过巴黎，但不完全确定，希望兰兰确认,佳佳只是在询问涵涵有没有去过巴黎，没有明显倾向,A:distractor|B:statement|C:confirmation|D:neutral,statement,B,confirmation,True,1,False,bare=ba,statement
F06,F06_ma,ma,佳佳和兰兰吃饭时聊到了共同认识的朋友涵涵，聊到她去过很多地方旅游。提到欧洲旅游时，佳佳说了一句：,她去过巴黎吗,佳佳羡慕涵涵去过很多地方,佳佳比较确定涵涵去过巴黎，是在告诉兰兰,佳佳倾向于认为涵涵去过巴黎，但不完全确定，希望兰兰确认,佳佳只是在询问涵涵有没有去过巴黎，没有明显倾向,A:distractor|B:statement|C:confirmation|D:neutral,neutral,D,neutral,False,3,False,bare=ba,statement
F11,F11_bare,bare,几个学生正在课程群里讨论即将开始的寒假课程，聊天中有人提到了小周，大家之前都在课程相关消息中看到过这个名字，但没有见过他。小张随后在群里说了一句：,小周是这门课的助教,小张只是在询问小周是否是这门课的助教，没有明显倾向,小张比较确定小周是这门课的助教，是在告诉大家,小张倾向于认为小周是这门课的助教，但不完全确定，希望大家确认,小张想知道小周以前是否当过这门课的助教,A:neutral|B:statement|C:confirmation|D:distractor,statement,B,statement,False,3,False,ba=ma,confirmation
F11,F11_ba,ba,几个学生正在课程群里讨论即将开始的寒假课程，聊天中有人提到了小周，大家之前都在课程相关消息中看到过这个名字，但没有见过他。小张随后在群里说了一句：,小周是这门课的助教吧,小张只是在询问小周是否是这门课的助教，没有明显倾向,小张比较确定小周是这门课的助教，是在告诉大家,小张倾向于认为小周是这门课的助教，但不完全确定，希望大家确认,小张想知道小周以前是否当过这门课的助教,A:neutral|B:statement|C:confirmation|D:distractor,confirmation,C,confirmation,False,1,False,ba=ma,confirmation
F11,F11_ma,ma,几个学生正在课程群里讨论即将开始的寒假课程，聊天中有人提到了小周，大家之前都在课程相关消息中看到过这个名字，但没有见过他。小张随后在群里说了一句：,小周是这门课的助教吗,小张只是在询问小周是否是这门课的助教，没有明显倾向,小张比较确定小周是这门课的助教，是在告诉大家,小张倾向于认为小周是这门课的助教，但不完全确定，希望大家确认,小张想知道小周以前是否当过这门课的助教,A:neutral|B:statement|C:confirmation|D:distractor,confirmation,C,neutral,True,1,False,ba=ma,confirmation
F12,F12_bare,bare,公司成员正在工作群里讨论下周货物运输的安排，大家在讨论选择哪家物流公司，聊天中提到了他们去年经常合作的一家，小孙在群里发了一句：,那家物流公司最近搬到新址了,小孙是在评价那家物流公司的新址比以前更方便,小孙倾向于认为那家物流公司最近搬到了新址，但不完全确定，希望大家确认,小孙只是在询问那家物流公司最近是否搬到了新址，没有明显倾向,小孙比较确定那家物流公司最近搬到新址了，是在告诉大家,A:distractor|B:confirmation|C:neutral|D:statement,statement,D,statement,False,3,False,ba=ma,confirmation
F12,F12_ba,ba,公司成员正在工作群里讨论下周货物运输的安排，大家在讨论选择哪家物流公司，聊天中提到了他们去年经常合作的一家，小孙在群里发了一句：,那家物流公司最近搬到新址了吧,小孙是在评价那家物流公司的新址比以前更方便,小孙倾向于认为那家物流公司最近搬到了新址，但不完全确定，希望大家确认,小孙只是在询问那家物流公司最近是否搬到了新址，没有明显倾向,小孙比较确定那家物流公司最近搬到新址了，是在告诉大家,A:distractor|B:confirmation|C:neutral|D:statement,confirmation,B,confirmation,False,2,False,ba=ma,confirmation
F12,F12_ma,ma,公司成员正在工作群里讨论下周货物运输的安排，大家在讨论选择哪家物流公司，聊天中提到了他们去年经常合作的一家，小孙在群里发了一句：,那家物流公司最近搬到新址了吗,小孙是在评价那家物流公司的新址比以前更方便,小孙倾向于认为那家物流公司最近搬到了新址，但不完全确定，希望大家确认,小孙只是在询问那家物流公司最近是否搬到了新址，没有明显倾向,小孙比较确定那家物流公司最近搬到新址了，是在告诉大家,A:distractor|B:confirmation|C:neutral|D:statement,confirmation,B,neutral,True,3,False,ba=ma,confirmation
F13,F13_bare,bare,小王和小陈在办公室讨论下周的一项工作，其中需要有人使用一套以前的系统。两人聊到了以前做过类似工作的人，包括在外地出差的兰兰。小王随后说了一句：,兰兰熟悉这套系统,小王倾向于认为兰兰熟悉这套系统，但不完全确定，希望小陈确认,小王只是在询问兰兰是否熟悉这套系统，没有明显倾向,小王比较确定兰兰熟悉这套系统，是在告诉小陈,小王想知道兰兰是否参与了这套系统的开发,A:confirmation|B:neutral|C:statement|D:distractor,statement,C,statement,False,3,False,ba=ma,confirmation
F13,F13_ba,ba,小王和小陈在办公室讨论下周的一项工作，其中需要有人使用一套以前的系统。两人聊到了以前做过类似工作的人，包括在外地出差的兰兰。小王随后说了一句：,兰兰熟悉这套系统吧,小王倾向于认为兰兰熟悉这套系统，但不完全确定，希望小陈确认,小王只是在询问兰兰是否熟悉这套系统，没有明显倾向,小王比较确定兰兰熟悉这套系统，是在告诉小陈,小王想知道兰兰是否参与了这套系统的开发,A:confirmation|B:neutral|C:statement|D:distractor,confirmation,A,confirmation,False,3,False,ba=ma,confirmation
F13,F13_ma,ma,小王和小陈在办公室讨论下周的一项工作，其中需要有人使用一套以前的系统。两人聊到了以前做过类似工作的人，包括在外地出差的兰兰。小王随后说了一句：,兰兰熟悉这套系统吗,小王倾向于认为兰兰熟悉这套系统，但不完全确定，希望小陈确认,小王只是在询问兰兰是否熟悉这套系统，没有明显倾向,小王比较确定兰兰熟悉这套系统，是在告诉小陈,小王想知道兰兰是否参与了这套系统的开发,A:confirmation|B:neutral|C:statement|D:distractor,confirmation,A,neutral,True,1,False,ba=ma,confirmation
F18,F18_bare,bare,小林和小周是大学同学，毕业几年了，偶尔听在读的学弟学妹提起学校的事。周末见面聊起母校，小林说了一句：,老校区最近在装修,小林只是在询问老校区最近是否在装修，没有明显倾向,小林倾向于认为老校区最近在装修，但不完全确定，希望小周确认,小林对老校区装修感到不满,小林比较确定老校区最近在装修，是在告诉小周,A:neutral|B:confirmation|C:distractor|D:statement,statement,D,statement,False,3,False,ba=ma,neutral
F18,F18_ba,ba,小林和小周是大学同学，毕业几年了，偶尔听在读的学弟学妹提起学校的事。周末见面聊起母校，小林说了一句：,老校区最近在装修吧,小林只是在询问老校区最近是否在装修，没有明显倾向,小林倾向于认为老校区最近在装修，但不完全确定，希望小周确认,小林对老校区装修感到不满,小林比较确定老校区最近在装修，是在告诉小周,A:neutral|B:confirmation|C:distractor|D:statement,neutral,A,confirmation,True,1,False,ba=ma,neutral
F18,F18_ma,ma,小林和小周是大学同学，毕业几年了，偶尔听在读的学弟学妹提起学校的事。周末见面聊起母校，小林说了一句：,老校区最近在装修吗,小林只是在询问老校区最近是否在装修，没有明显倾向,小林倾向于认为老校区最近在装修，但不完全确定，希望小周确认,小林对老校区装修感到不满,小林比较确定老校区最近在装修，是在告诉小周,A:neutral|B:confirmation|C:distractor|D:statement,neutral,A,neutral,False,3,False,ba=ma,neutral
F33,F33_bare,bare,小梁和小许想要拍有秋天氛围的照片，打算去郊区的银杏公园拍有落叶的场景。聊到什么时候去合适时，小梁说了一句：,银杏下个月会变黄,小梁只是在询问银杏下个月是否会变黄，没有明显倾向,小梁觉得银杏的颜色会比过去更深,小梁倾向于认为银杏下个月会变黄，但不完全确定，希望小许确认,小梁比较确定银杏下个月会变黄，是在告诉小许,A:neutral|B:distractor|C:confirmation|D:statement,statement,D,statement,False,3,False,bare=ba,statement
F33,F33_ba,ba,小梁和小许想要拍有秋天氛围的照片，打算去郊区的银杏公园拍有落叶的场景。聊到什么时候去合适时，小梁说了一句：,银杏下个月会变黄吧,小梁只是在询问银杏下个月是否会变黄，没有明显倾向,小梁觉得银杏的颜色会比过去更深,小梁倾向于认为银杏下个月会变黄，但不完全确定，希望小许确认,小梁比较确定银杏下个月会变黄，是在告诉小许,A:neutral|B:distractor|C:confirmation|D:statement,statement,D,confirmation,True,1,False,bare=ba,statement
F33,F33_ma,ma,小梁和小许想要拍有秋天氛围的照片，打算去郊区的银杏公园拍有落叶的场景。聊到什么时候去合适时，小梁说了一句：,银杏下个月会变黄吗,小梁只是在询问银杏下个月是否会变黄，没有明显倾向,小梁觉得银杏的颜色会比过去更深,小梁倾向于认为银杏下个月会变黄，但不完全确定，希望小许确认,小梁比较确定银杏下个月会变黄，是在告诉小许,A:neutral|B:distractor|C:confirmation|D:statement,confirmation,C,neutral,True,1,False,bare=ba,statement
