set,family_id,item_id,condition,model,raw_response,parsed_choice_letter,parsed_choice_semantic,gold_letter,gold_semantic,hit_gold,parse_failed
confirmatory,F01,F01_bare,bare,deepseek-v3,B,B,neutral,C,statement,False,False
confirmatory,F01,F01_ba,ba,deepseek-v3,B,B,neutral,D,confirmation,False,False
confirmatory,F01,F01_ma,ma,deepseek-v3,B,B,neutral,B,neutral,True,False
confirmatory,F02,F02_bare,bare,deepseek-v3,D,D,neutral,C,statement,False,False
confirmatory,F02,F02_ba,ba,deepseek-v3,D,D,neutral,B,confirmation,False,False
confirmatory,F02,F02_ma,ma,deepseek-v3,D,D,neutral,D,neutral,True,False
confirmatory,F04,F04_bare,bare,deepseek-v3,C,C,neutral,A,statement,False,False
confirmatory,F04,F04_ba,ba,deepseek-v3,D,D,confirmation,D,confirmation,True,False
confirmatory,F04,F04_ma,ma,deepseek-v3,D,D,confirmation,C,neutral,False,False
confirmatory,F07,F07_bare,bare,deepseek-v3,B,B,statement,B,statement,True,False
confirmatory,F07,F07_ba,ba,deepseek-v3,A,A,confirmation,A,confirmation,True,False
confirmatory,F07,F07_ma,ma,deepseek-v3,B,B,statement,C,neutral,False,False
confirmatory,F14,F14_bare,bare,deepseek-v3,C,C,neutral,B,statement,False,False
confirmatory,F14,F14_ba,ba,deepseek-v3,C,C,neutral,D,confirmation,False,False
confirmatory,F14,F14_ma,ma,deepseek-v3,C,C,neutral,C,neutral,True,False
confirmatory,F15,F15_bare,bare,deepseek-v3,D,D,neutral,B,statement,False,False
confirmatory,F15,F15_ba,ba,deepseek-v3,D) 阿新只是在询问阿雅阿杰明天是否会来聚餐，没有明显倾向,D,neutral,A,confirmation,False,False
confirmatory,F15,F15_ma,ma,deepseek-v3,D,D,neutral,D,neutral,True,False
confirmatory,F16,F16_bare,bare,deepseek-v3,B,B,neutral,A,statement,False,False
confirmatory,F16,F16_ba,ba,deepseek-v3,B,B,neutral,C,confirmation,False,False
confirmatory,F16,F16_ma,ma,deepseek-v3,B) 小涵只是在询问大家小欣晚点是否也会来视频，没有明显倾向,B,neutral,B,neutral,True,False
confirmatory,F17,F17_bare,bare,deepseek-v3,D,D,neutral,A,statement,False,False
confirmatory,F17,F17_ba,ba,deepseek-v3,D,D,neutral,B,confirmation,False,False
confirmatory,F17,F17_ma,ma,deepseek-v3,D,D,neutral,D,neutral,True,False
confirmatory,F20,F20_bare,bare,deepseek-v3,B,B,neutral,A,statement,False,False
confirmatory,F20,F20_ba,ba,deepseek-v3,B,B,neutral,C,confirmation,False,False
confirmatory,F20,F20_ma,ma,deepseek-v3,B,B,neutral,B,neutral,True,False
confirmatory,F21,F21_bare,bare,deepseek-v3,B,B,neutral,D,statement,False,False
confirmatory,F21,F21_ba,ba,deepseek-v3,B,B,neutral,A,confirmation,False,False
confirmatory,F21,F21_ma,ma,deepseek-v3,B,B,neutral,B,neutral,True,False
confirmatory,F23,F23_bare,bare,deepseek-v3,D,D,neutral,B,statement,False,False
confirmatory,F23,F23_ba,ba,deepseek-v3,D,D,neutral,A,confirmation,False,False
confirmatory,F23,F23_ma,ma,deepseek-v3,D) 小林只是在询问那场比赛是否是校内赛，没有明显倾向,D,neutral,D,neutral,True,False
confirmatory,F24,F24_bare,bare,deepseek-v3,D,D,neutral,B,statement,False,False
confirmatory,F24,F24_ba,ba,deepseek-v3,C,C,confirmation,C,confirmation,True,False
confirmatory,F24,F24_ma,ma,deepseek-v3,D,D,neutral,D,neutral,True,False
confirmatory,F25,F25_bare,bare,deepseek-v3,C,C,neutral,D,statement,False,False
confirmatory,F25,F25_ba,ba,deepseek-v3,C,C,neutral,B,confirmation,False,False
confirmatory,F25,F25_ma,ma,deepseek-v3,C,C,neutral,C,neutral,True,False
confirmatory,F27,F27_bare,bare,deepseek-v3,C,C,neutral,D,statement,False,False
confirmatory,F27,F27_ba,ba,deepseek-v3,C,C,neutral,A,confirmation,False,False
confirmatory,F27,F27_ma,ma,deepseek-v3,C,C,neutral,C,neutral,True,False
confirmatory,F28,F28_bare,bare,deepseek-v3,A) 小吴只是在询问旧系统目前还能不能用，没有明显倾向,A,neutral,D,statement,False,False
confirmatory,F28,F28_ba,ba,deepseek-v3,A,A,neutral,C,confirmation,False,False
confirmatory,F28,F28_ma,ma,deepseek-v3,A,A,neutral,A,neutral,True,False
confirmatory,F30,F30_bare,bare,deepseek-v3,A,A,neutral,C,statement,False,False
confirmatory,F30,F30_ba,ba,deepseek-v3,A,A,neutral,D,confirmation,False,False
confirmatory,F30,F30_ma,ma,deepseek-v3,A,A,neutral,A,neutral,True,False
confirmatory,F32,F32_bare,bare,deepseek-v3,B,B,neutral,C,statement,False,False
confirmatory,F32,F32_ba,ba,deepseek-v3,B,B,neutral,A,confirmation,False,False
