condition,reference_label,target_label,count,share_among_disagreements,within_reference_rate,low_n
bare,statement,confirmation,0,,0.0,True
bare,statement,neutral,0,,0.0,True
bare,statement,distractor,0,,0.0,True
bare,confirmation,statement,0,,,True
bare,confirmation,neutral,0,,,True
bare,confirmation,distractor,0,,,True
bare,neutral,statement,0,,,True
bare,neutral,confirmation,0,,,True
bare,neutral,distractor,0,,,True
bare,distractor,statement,0,,0.0,True
bare,distractor,confirmation,0,,0.0,True
bare,distractor,neutral,0,,0.0,True
ba,statement,confirmation,1,0.1,1.0,True
ba,statement,neutral,0,0.0,0.0,True
ba,statement,distractor,0,0.0,0.0,True
ba,confirmation,statement,3,0.3,0.14285714285714285,True
ba,confirmation,neutral,5,0.5,0.23809523809523808,True
ba,confirmation,distractor,0,0.0,0.0,True
ba,neutral,statement,0,0.0,,True
ba,neutral,confirmation,0,0.0,,True
ba,neutral,distractor,0,0.0,,True
ba,distractor,statement,0,0.0,0.0,True
ba,distractor,confirmation,0,0.0,0.0,True
ba,distractor,neutral,1,0.1,1.0,True
ma,statement,confirmation,0,0.0,,True
ma,statement,neutral,0,0.0,,True
ma,statement,distractor,0,0.0,,True
ma,confirmation,statement,0,0.0,0.0,True
ma,confirmation,neutral,3,0.5,0.75,True
ma,confirmation,distractor,0,0.0,0.0,True
ma,neutral,statement,0,0.0,0.0,True
ma,neutral,confirmation,3,0.5,0.16666666666666666,True
ma,neutral,distractor,0,0.0,0.0,True
ma,distractor,statement,0,0.0,,True
ma,distractor,confirmation,0,0.0,,True
ma,distractor,neutral,0,0.0,,True
overall,statement,confirmation,1,0.0625,0.03125,True
overall,statement,neutral,0,0.0,0.0,True
overall,statement,distractor,0,0.0,0.0,True
overall,confirmation,statement,3,0.1875,0.12,True
overall,confirmation,neutral,8,0.5,0.32,False
overall,confirmation,distractor,0,0.0,0.0,True
overall,neutral,statement,0,0.0,0.0,True
overall,neutral,confirmation,3,0.1875,0.16666666666666666,True
overall,neutral,distractor,0,0.0,0.0,True
overall,distractor,statement,0,0.0,0.0,True
overall,distractor,confirmation,0,0.0,0.0,True
overall,distractor,neutral,1,0.0625,0.5,True
