family_id,item_id,condition,context_text,target_sentence,option_A,option_B,option_C,option_D,option_semantic_map,gold_semantic,gold_letter,design_gold_semantic,gold_shifted,margin,stable_keep_all_pools
F01,F01_bare,bare,小周和小林正在参加一个单位组织的培训活动，刚才有一位工作人员过来提醒大家签到，那个人离开后，小周对小林说：,刚才那位是这里的负责人,小周在请小林去找刚才那个人,小周只是在询问刚才那位是不是这里的负责人，没有明显倾向,小周比较确定刚才那位是这里的负责人，是在告诉小林,小周倾向于认为刚才那位是这里的负责人，但不完全确定，希望小林确认,A:distractor|B:neutral|C:statement|D:confirmation,statement,C,statement,False,3,False
F01,F01_ba,ba,小周和小林正在参加一个单位组织的培训活动，刚才有一位工作人员过来提醒大家签到，那个人离开后，小周对小林说：,刚才那位是这里的负责人吧,小周在请小林去找刚才那个人,小周只是在询问刚才那位是不是这里的负责人，没有明显倾向,小周比较确定刚才那位是这里的负责人，是在告诉小林,小周倾向于认为刚才那位是这里的负责人，但不完全确定，希望小林确认,A:distractor|B:neutral|C:statement|D:confirmation,confirmation,D,confirmation,False,1,False
F01,F01_ma,ma,小周和小林正在参加一个单位组织的培训活动，刚才有一位工作人员过来提醒大家签到，那个人离开后，小周对小林说：,刚才那位是这里的负责人吗,小周在请小林去找刚才那个人,小周只是在询问刚才那位是不是这里的负责人，没有明显倾向,小周比较确定刚才那位是这里的负责人，是在告诉小林,小周倾向于认为刚才那位是这里的负责人，但不完全确定，希望小林确认,A:distractor|B:neutral|C:statement|D:confirmation,neutral,B,neutral,False,3,False
F02,F02_bare,bare,几个朋友正在群里聊一部新电影，小林随后在群里发了一句：,电影周五上映,小林是在建议大家周五去看这部电影,小林倾向于认为电影周五上映，但不完全确定，希望其他人确认,小林比较确定电影周五上映，是在告诉大家,小林只是在询问电影是不是周五上映，没有明显倾向,A:distractor|B:confirmation|C:statement|D:neutral,statement,C,statement,False,3,False
F02,F02_ba,ba,几个朋友正在群里聊一部新电影，小林随后在群里发了一句：,电影周五上映吧,小林是在建议大家周五去看这部电影,小林倾向于认为电影周五上映，但不完全确定，希望其他人确认,小林比较确定电影周五上映，是在告诉大家,小林只是在询问电影是不是周五上映，没有明显倾向,A:distractor|B:confirmation|C:statement|D:neutral,confirmation,B,confirmation,False,1,False
F02,F02_ma,ma,几个朋友正在群里聊一部新电影，小林随后在群里发了一句：,电影周五上映吗,小林是在建议大家周五去看这部电影,小林倾向于认为电影周五上映，但不完全确定，希望其他人确认,小林比较确定电影周五上映，是在告诉大家,小林只是在询问电影是不是周五上映，没有明显倾向,A:distractor|B:confirmation|C:statement|D:neutral,neutral,D,neutral,False,3,False
F04,F04_bare,bare,小林和小周课间聊起前桌小张，提到那个经常和小张一起吃饭的男生。小林说：,他是小张的舍友,小林比较确定他是小张的舍友，是在告诉小周,小林在请小周去问问那个男生是谁,小林只是在询问他是不是小张的舍友，没有明显倾向,小林倾向于认为他是小张的舍友，但不完全确定，希望小周确认,A:statement|B:distractor|C:neutral|D:confirmation,statement,A,statement,False,3,False
F04,F04_ba,ba,小林和小周课间聊起前桌小张，提到那个经常和小张一起吃饭的男生。小林说：,他是小张的舍友吧,小林比较确定他是小张的舍友，是在告诉小周,小林在请小周去问问那个男生是谁,小林只是在询问他是不是小张的舍友，没有明显倾向,小林倾向于认为他是小张的舍友，但不完全确定，希望小周确认,A:statement|B:distractor|C:neutral|D:confirmation,confirmation,D,confirmation,False,1,False
F04,F04_ma,ma,小林和小周课间聊起前桌小张，提到那个经常和小张一起吃饭的男生。小林说：,他是小张的舍友吗,小林比较确定他是小张的舍友，是在告诉小周,小林在请小周去问问那个男生是谁,小林只是在询问他是不是小张的舍友，没有明显倾向,小林倾向于认为他是小张的舍友，但不完全确定，希望小周确认,A:statement|B:distractor|C:neutral|D:confirmation,neutral,C,neutral,False,3,False
F07,F07_bare,bare,小李和小姜想临时找一个地方谈事情，公司里有几间大家都可以使用的会议室。两人提到离他们最近的一间后，小姜说了一句：,那间会议室现在空着,小姜倾向于认为那间会议室现在空着，但不完全确定，希望小李确认,小姜比较确定那间会议室现在空着，是在告诉小李,小姜只是在询问那间会议室是否空着，没有明显倾向,小姜认为那间会议室的环境比其他会议室更好,A:confirmation|B:statement|C:neutral|D:distractor,statement,B,statement,False,3,True
