set,model,condition,n_valid_raw,accuracy_raw,n_updates,update_precision
confirmatory,deepseek-r1-0528,ba,20,1.0,9,1.0
confirmatory,deepseek-r1-0528,bare,20,0.95,19,1.0
confirmatory,deepseek-r1-0528,ma,20,0.75,8,0.5
confirmatory,deepseek-v3,ba,20,0.4,12,0.5
confirmatory,deepseek-v3,bare,20,1.0,19,1.0
confirmatory,deepseek-v3,ma,20,1.0,2,1.0
confirmatory,gemini-3-flash-preview,ba,20,1.0,2,1.0
confirmatory,gemini-3-flash-preview,bare,20,0.9,17,1.0
confirmatory,gemini-3-flash-preview,ma,20,0.55,11,1.0
confirmatory,gemma-4-31b,ba,20,1.0,2,1.0
confirmatory,gemma-4-31b,bare,20,1.0,7,1.0
confirmatory,gemma-4-31b,ma,20,0.35,3,0.3333333333333333
confirmatory,mistral-small-3-24b,ba,20,0.9,6,0.8333333333333334
confirmatory,mistral-small-3-24b,bare,20,0.85,15,0.9333333333333333
confirmatory,mistral-small-3-24b,ma,20,1.0,10,1.0
confirmatory,qwen3-next-80b,ba,20,0.65,7,0.2857142857142857
confirmatory,qwen3-next-80b,bare,20,1.0,17,1.0
confirmatory,qwen3-next-80b,ma,20,0.45,10,0.7
exploratory,deepseek-r1-0528,ba,6,0.5,3,0.6666666666666666
exploratory,deepseek-r1-0528,bare,6,1.0,6,1.0
exploratory,deepseek-r1-0528,ma,6,0.0,3,0.0
exploratory,deepseek-v3,ba,6,0.3333333333333333,3,0.6666666666666666
exploratory,deepseek-v3,bare,6,1.0,5,1.0
exploratory,deepseek-v3,ma,6,0.3333333333333333,1,1.0
exploratory,gemini-3-flash-preview,ba,6,0.5,0,
exploratory,gemini-3-flash-preview,bare,6,1.0,6,1.0
exploratory,gemini-3-flash-preview,ma,6,0.3333333333333333,4,0.25
exploratory,gemma-4-31b,ba,6,0.5,2,0.5
exploratory,gemma-4-31b,bare,6,1.0,2,1.0
exploratory,gemma-4-31b,ma,6,0.3333333333333333,1,0.0
exploratory,mistral-small-3-24b,ba,6,0.5,1,1.0
exploratory,mistral-small-3-24b,bare,6,1.0,5,1.0
exploratory,mistral-small-3-24b,ma,6,0.3333333333333333,2,0.5
exploratory,qwen3-next-80b,ba,6,0.3333333333333333,2,0.5
exploratory,qwen3-next-80b,bare,6,1.0,4,1.0
exploratory,qwen3-next-80b,ma,6,0.3333333333333333,4,0.25
