model,gold_semantic,statement,confirmation,neutral,distractor
deepseek-r1-0528,statement,0.95,0.05,0.0,0.0
deepseek-r1-0528,confirmation,0.0,1.0,0.0,0.0
deepseek-r1-0528,neutral,0.0,0.25,0.75,0.0
deepseek-r1-0528,distractor,,,,
deepseek-v3,statement,1.0,0.0,0.0,0.0
deepseek-v3,confirmation,0.25,0.4,0.35,0.0
deepseek-v3,neutral,0.0,0.0,1.0,0.0
deepseek-v3,distractor,,,,
gemini-3-flash-preview,statement,0.9,0.1,0.0,0.0
gemini-3-flash-preview,confirmation,0.0,1.0,0.0,0.0
gemini-3-flash-preview,neutral,0.0,0.45,0.55,0.0
gemini-3-flash-preview,distractor,,,,
gemma-4-31b,statement,1.0,0.0,0.0,0.0
gemma-4-31b,confirmation,0.0,1.0,0.0,0.0
gemma-4-31b,neutral,0.0,0.65,0.35,0.0
gemma-4-31b,distractor,,,,
mistral-small-3-24b,statement,0.85,0.15,0.0,0.0
mistral-small-3-24b,confirmation,0.05,0.9,0.05,0.0
mistral-small-3-24b,neutral,0.0,0.0,1.0,0.0
mistral-small-3-24b,distractor,,,,
qwen3-next-80b,statement,1.0,0.0,0.0,0.0
qwen3-next-80b,confirmation,0.3,0.65,0.05,0.0
qwen3-next-80b,neutral,0.0,0.55,0.45,0.0
qwen3-next-80b,distractor,,,,
