set,model,condition,group,n_items,accuracy
confirmatory,deepseek-r1-0528,ba,prior_correct,11,1.0
confirmatory,deepseek-r1-0528,ba,prior_incorrect,9,1.0
confirmatory,deepseek-r1-0528,bare,prior_correct,0,
confirmatory,deepseek-r1-0528,bare,prior_incorrect,20,0.95
confirmatory,deepseek-r1-0528,ma,prior_correct,15,0.7333333333333333
confirmatory,deepseek-r1-0528,ma,prior_incorrect,5,0.8
confirmatory,deepseek-v3,ba,prior_correct,4,0.5
confirmatory,deepseek-v3,ba,prior_incorrect,16,0.375
confirmatory,deepseek-v3,bare,prior_correct,1,1.0
confirmatory,deepseek-v3,bare,prior_incorrect,19,1.0
confirmatory,deepseek-v3,ma,prior_correct,17,1.0
confirmatory,deepseek-v3,ma,prior_incorrect,2,1.0
confirmatory,gemini-3-flash-preview,ba,prior_correct,18,1.0
confirmatory,gemini-3-flash-preview,ba,prior_incorrect,2,1.0
confirmatory,gemini-3-flash-preview,bare,prior_correct,1,1.0
confirmatory,gemini-3-flash-preview,bare,prior_incorrect,19,0.8947368421052632
confirmatory,gemini-3-flash-preview,ma,prior_correct,0,
confirmatory,gemini-3-flash-preview,ma,prior_incorrect,20,0.55
confirmatory,gemma-4-31b,ba,prior_correct,5,1.0
confirmatory,gemma-4-31b,ba,prior_incorrect,2,1.0
confirmatory,gemma-4-31b,bare,prior_correct,1,1.0
confirmatory,gemma-4-31b,bare,prior_incorrect,7,1.0
confirmatory,gemma-4-31b,ma,prior_correct,3,0.6666666666666666
confirmatory,gemma-4-31b,ma,prior_incorrect,7,0.14285714285714285
confirmatory,mistral-small-3-24b,ba,prior_correct,11,0.9090909090909091
confirmatory,mistral-small-3-24b,ba,prior_incorrect,6,0.8333333333333334
confirmatory,mistral-small-3-24b,bare,prior_correct,0,
confirmatory,mistral-small-3-24b,bare,prior_incorrect,17,0.8235294117647058
confirmatory,mistral-small-3-24b,ma,prior_correct,7,1.0
confirmatory,mistral-small-3-24b,ma,prior_incorrect,10,1.0
confirmatory,qwen3-next-80b,ba,prior_correct,15,0.7333333333333333
confirmatory,qwen3-next-80b,ba,prior_incorrect,5,0.4
confirmatory,qwen3-next-80b,bare,prior_correct,3,1.0
confirmatory,qwen3-next-80b,bare,prior_incorrect,17,1.0
confirmatory,qwen3-next-80b,ma,prior_correct,2,1.0
confirmatory,qwen3-next-80b,ma,prior_incorrect,18,0.3888888888888889
exploratory,deepseek-r1-0528,ba,prior_correct,1,1.0
exploratory,deepseek-r1-0528,ba,prior_incorrect,5,0.4
exploratory,deepseek-r1-0528,bare,prior_correct,0,
exploratory,deepseek-r1-0528,bare,prior_incorrect,6,1.0
exploratory,deepseek-r1-0528,ma,prior_correct,3,0.0
exploratory,deepseek-r1-0528,ma,prior_incorrect,3,0.0
exploratory,deepseek-v3,ba,prior_correct,1,0.0
exploratory,deepseek-v3,ba,prior_incorrect,4,0.5
exploratory,deepseek-v3,bare,prior_correct,1,1.0
exploratory,deepseek-v3,bare,prior_incorrect,5,1.0
exploratory,deepseek-v3,ma,prior_correct,1,1.0
exploratory,deepseek-v3,ma,prior_incorrect,5,0.2
exploratory,gemini-3-flash-preview,ba,prior_correct,3,1.0
exploratory,gemini-3-flash-preview,ba,prior_incorrect,3,0.0
exploratory,gemini-3-flash-preview,bare,prior_correct,0,
exploratory,gemini-3-flash-preview,bare,prior_incorrect,6,1.0
exploratory,gemini-3-flash-preview,ma,prior_correct,4,0.25
exploratory,gemini-3-flash-preview,ma,prior_incorrect,2,0.5
exploratory,gemma-4-31b,ba,prior_correct,0,
exploratory,gemma-4-31b,ba,prior_incorrect,3,0.3333333333333333
exploratory,gemma-4-31b,bare,prior_correct,0,
exploratory,gemma-4-31b,bare,prior_incorrect,2,1.0
exploratory,gemma-4-31b,ma,prior_correct,1,0.0
exploratory,gemma-4-31b,ma,prior_incorrect,1,0.0
exploratory,mistral-small-3-24b,ba,prior_correct,2,1.0
exploratory,mistral-small-3-24b,ba,prior_incorrect,3,0.3333333333333333
exploratory,mistral-small-3-24b,bare,prior_correct,0,
exploratory,mistral-small-3-24b,bare,prior_incorrect,5,1.0
exploratory,mistral-small-3-24b,ma,prior_correct,1,0.0
exploratory,mistral-small-3-24b,ma,prior_incorrect,4,0.25
exploratory,qwen3-next-80b,ba,prior_correct,2,0.5
exploratory,qwen3-next-80b,ba,prior_incorrect,4,0.25
exploratory,qwen3-next-80b,bare,prior_correct,2,1.0
exploratory,qwen3-next-80b,bare,prior_incorrect,4,1.0
exploratory,qwen3-next-80b,ma,prior_correct,3,0.3333333333333333
exploratory,qwen3-next-80b,ma,prior_incorrect,3,0.3333333333333333
