model,gold_semantic,statement,confirmation,neutral,distractor
deepseek-r1-0528,statement,19,1,0,0
deepseek-r1-0528,confirmation,0,20,0,0
deepseek-r1-0528,neutral,0,5,15,0
deepseek-r1-0528,distractor,0,0,0,0
deepseek-v3,statement,20,0,0,0
deepseek-v3,confirmation,5,8,7,0
deepseek-v3,neutral,0,0,20,0
deepseek-v3,distractor,0,0,0,0
gemini-3-flash-preview,statement,18,2,0,0
gemini-3-flash-preview,confirmation,0,20,0,0
gemini-3-flash-preview,neutral,0,9,11,0
gemini-3-flash-preview,distractor,0,0,0,0
gemma-4-31b,statement,20,0,0,0
gemma-4-31b,confirmation,0,20,0,0
gemma-4-31b,neutral,0,13,7,0
gemma-4-31b,distractor,0,0,0,0
mistral-small-3-24b,statement,17,3,0,0
mistral-small-3-24b,confirmation,1,18,1,0
mistral-small-3-24b,neutral,0,0,20,0
mistral-small-3-24b,distractor,0,0,0,0
qwen3-next-80b,statement,20,0,0,0
qwen3-next-80b,confirmation,6,13,1,0
qwen3-next-80b,neutral,0,11,9,0
qwen3-next-80b,distractor,0,0,0,0
