set,model,condition,n_valid_pairs,n_used_target,used_target_rate,n_excluded_no_ablation_answer
confirmatory,deepseek-r1-0528,ba,20,9,0.45,0
confirmatory,deepseek-r1-0528,bare,20,19,0.95,0
confirmatory,deepseek-r1-0528,ma,20,8,0.4,0
confirmatory,deepseek-v3,ba,20,12,0.6,0
confirmatory,deepseek-v3,bare,20,19,0.95,0
confirmatory,deepseek-v3,ma,19,2,0.10526315789473684,1
confirmatory,gemini-3-flash-preview,ba,20,2,0.1,0
confirmatory,gemini-3-flash-preview,bare,20,17,0.85,0
confirmatory,gemini-3-flash-preview,ma,20,11,0.55,0
confirmatory,gemma-4-31b,ba,7,2,0.2857142857142857,13
confirmatory,gemma-4-31b,bare,8,7,0.875,12
confirmatory,gemma-4-31b,ma,10,3,0.3,10
confirmatory,mistral-small-3-24b,ba,17,6,0.35294117647058826,3
confirmatory,mistral-small-3-24b,bare,17,15,0.8823529411764706,3
confirmatory,mistral-small-3-24b,ma,17,10,0.5882352941176471,3
confirmatory,qwen3-next-80b,ba,20,7,0.35,0
confirmatory,qwen3-next-80b,bare,20,17,0.85,0
confirmatory,qwen3-next-80b,ma,20,10,0.5,0
exploratory,deepseek-r1-0528,ba,6,3,0.5,0
exploratory,deepseek-r1-0528,bare,6,6,1.0,0
exploratory,deepseek-r1-0528,ma,6,3,0.5,0
exploratory,deepseek-v3,ba,5,3,0.6,1
exploratory,deepseek-v3,bare,6,5,0.8333333333333334,0
exploratory,deepseek-v3,ma,6,1,0.16666666666666666,0
exploratory,gemini-3-flash-preview,ba,6,0,0.0,0
exploratory,gemini-3-flash-preview,bare,6,6,1.0,0
exploratory,gemini-3-flash-preview,ma,6,4,0.6666666666666666,0
exploratory,gemma-4-31b,ba,3,2,0.6666666666666666,3
exploratory,gemma-4-31b,bare,2,2,1.0,4
exploratory,gemma-4-31b,ma,2,1,0.5,4
exploratory,mistral-small-3-24b,ba,5,1,0.2,1
exploratory,mistral-small-3-24b,bare,5,5,1.0,1
exploratory,mistral-small-3-24b,ma,5,2,0.4,1
exploratory,qwen3-next-80b,ba,6,2,0.3333333333333333,0
exploratory,qwen3-next-80b,bare,6,4,0.6666666666666666,0
exploratory,qwen3-next-80b,ma,6,4,0.6666666666666666,0
