family_id,item_id,condition,Econ_semantic,Materials_semantic,EngLit_semantic,reference_label,reference_valid,target_semantic,agree,disagreement_direction,target_naturalness,target_hesitation,target_no_option_flag,Econ_no_option_flag,Materials_no_option_flag,EngLit_no_option_flag
F01,F01_bare,bare,statement,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F01,F01_ba,ba,statement,confirmation,statement,statement,True,confirmation,False,statement->confirmation,5,False,False,False,False,False
F01,F01_ma,ma,confirmation,neutral,neutral,neutral,True,neutral,True,,5,False,False,False,False,False
F02,F02_bare,bare,distractor,statement,statement,statement,True,statement,True,,5,False,True,False,False,False
F02,F02_ba,ba,distractor,statement,confirmation,,False,confirmation,,,5,False,False,False,False,False
F02,F02_ma,ma,confirmation,neutral,neutral,neutral,True,neutral,True,,5,False,False,False,False,False
F03,F03_bare,bare,statement,,statement,statement,True,statement,True,,5,False,False,False,True,False
F03,F03_ba,ba,confirmation,,statement,,False,confirmation,,,5,False,False,False,True,False
F03,F03_ma,ma,neutral,,neutral,neutral,True,neutral,True,,5,False,False,False,True,False
F04,F04_bare,bare,statement,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F04,F04_ba,ba,statement,confirmation,neutral,,False,confirmation,,,5,False,False,False,False,False
F04,F04_ma,ma,confirmation,neutral,neutral,neutral,True,neutral,True,,5,False,False,False,False,False
F05,F05_bare,bare,statement,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F05,F05_ba,ba,statement,statement,neutral,statement,True,confirmation,False,statement->confirmation,5,False,False,False,False,False
F05,F05_ma,ma,confirmation,,neutral,,False,neutral,,,5,False,False,False,True,True
F06,F06_bare,bare,distractor,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F06,F06_ba,ba,distractor,statement,statement,statement,True,confirmation,False,statement->confirmation,5,False,False,False,False,False
F06,F06_ma,ma,neutral,neutral,neutral,neutral,True,neutral,True,,5,False,False,False,False,False
F07,F07_bare,bare,statement,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F07,F07_ba,ba,confirmation,confirmation,confirmation,confirmation,True,statement,False,confirmation->statement,5,False,False,False,False,False
F07,F07_ma,ma,statement,,neutral,,False,neutral,,,5,False,False,False,False,False
F08,F08_bare,bare,statement,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F08,F08_ba,ba,confirmation,,confirmation,confirmation,True,confirmation,True,,5,False,False,False,False,False
F08,F08_ma,ma,confirmation,,neutral,,False,confirmation,,,5,False,False,False,True,False
F09,F09_bare,bare,statement,statement,statement,statement,True,statement,True,,4,False,False,False,False,False
F09,F09_ba,ba,statement,neutral,confirmation,,False,confirmation,,,4,False,False,False,False,False
F09,F09_ma,ma,statement,distractor,distractor,distractor,True,confirmation,False,distractor->confirmation,4,False,False,False,False,False
F10,F10_bare,bare,statement,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F10,F10_ba,ba,statement,statement,neutral,statement,True,confirmation,False,statement->confirmation,5,False,False,False,False,False
F10,F10_ma,ma,confirmation,confirmation,neutral,confirmation,True,neutral,False,confirmation->neutral,5,False,False,False,False,False
F11,F11_bare,bare,confirmation,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F11,F11_ba,ba,confirmation,neutral,confirmation,confirmation,True,confirmation,True,,5,False,False,False,False,False
F11,F11_ma,ma,neutral,confirmation,neutral,neutral,True,confirmation,False,neutral->confirmation,5,False,False,False,False,False
F12,F12_bare,bare,confirmation,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F12,F12_ba,ba,confirmation,,confirmation,confirmation,True,confirmation,True,,5,False,False,False,True,False
F12,F12_ma,ma,confirmation,confirmation,confirmation,confirmation,True,confirmation,True,,5,False,False,False,False,False
F13,F13_bare,bare,statement,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F13,F13_ba,ba,confirmation,confirmation,confirmation,confirmation,True,confirmation,True,,5,False,False,False,False,False
F13,F13_ma,ma,neutral,confirmation,confirmation,confirmation,True,neutral,False,confirmation->neutral,5,False,False,False,False,False
F14,F14_bare,bare,distractor,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F14,F14_ba,ba,statement,statement,confirmation,statement,True,confirmation,False,statement->confirmation,5,False,False,False,False,False
F14,F14_ma,ma,confirmation,neutral,distractor,,False,neutral,,,5,False,False,False,False,False
F15,F15_bare,bare,neutral,statement,statement,statement,True,statement,True,,5,False,False,False,False,False
F15,F15_ba,ba,confirmation,confirmation,confirmation,confirmation,True,confirmation,True,,5,False,False,False,False,False
