family_id,core3_class,econ_class,bwl_class,all5_class,stable_keep_all_pools,family_gold_shifted,core3_class_detail
F01,KEEP,NO_CONSENSUS,KEEP,KEEP,False,False,bare:statement; ba:confirmation; ma:neutral
F02,KEEP,NO_CONSENSUS,KEEP,KEEP,False,False,bare:statement; ba:confirmation; ma:neutral
F03,NO_CONSENSUS,KEEP,KEEP,KEEP,False,False,bare:statement; ba:NONE; ma:neutral
F04,KEEP,NO_CONSENSUS,KEEP,KEEP,False,False,bare:statement; ba:confirmation; ma:neutral
F05,NO_CONSENSUS,NO_CONSENSUS,NO_CONSENSUS,NO_CONSENSUS,False,False,bare:statement; ba:NONE; ma:neutral
F06,COLLAPSE,NO_CONSENSUS,NO_CONSENSUS,NO_CONSENSUS,False,True,bare:statement; ba:statement; ma:neutral
F07,KEEP,KEEP,KEEP,KEEP,True,False,bare:statement; ba:confirmation; ma:neutral
F08,NO_CONSENSUS,COLLAPSE,KEEP,NO_CONSENSUS,False,False,bare:statement; ba:confirmation; ma:NONE
F09,COLLAPSE,NO_CONSENSUS,NO_CONSENSUS,NO_CONSENSUS,False,True,bare:statement; ba:confirmation; ma:distractor
F10,NO_CONSENSUS,NO_CONSENSUS,NO_CONSENSUS,NO_CONSENSUS,False,False,bare:statement; ba:NONE; ma:neutral
F11,COLLAPSE,NO_CONSENSUS,NO_CONSENSUS,KEEP,False,True,bare:statement; ba:confirmation; ma:confirmation
F12,COLLAPSE,COLLAPSE,COLLAPSE,COLLAPSE,False,True,bare:statement; ba:confirmation; ma:confirmation
F13,COLLAPSE,NO_CONSENSUS,NO_CONSENSUS,KEEP,False,True,bare:statement; ba:confirmation; ma:confirmation
F14,KEEP,NO_CONSENSUS,KEEP,KEEP,False,False,bare:statement; ba:confirmation; ma:neutral
F15,KEEP,KEEP,KEEP,KEEP,True,False,bare:statement; ba:confirmation; ma:neutral
F16,KEEP,KEEP,KEEP,KEEP,True,False,bare:statement; ba:confirmation; ma:neutral
F17,KEEP,NO_CONSENSUS,KEEP,KEEP,False,False,bare:statement; ba:confirmation; ma:neutral
F18,COLLAPSE,NO_CONSENSUS,NO_CONSENSUS,KEEP,False,True,bare:statement; ba:neutral; ma:neutral
F19,NO_CONSENSUS,NO_CONSENSUS,NO_CONSENSUS,NO_CONSENSUS,False,False,bare:statement; ba:confirmation; ma:NONE
F20,KEEP,NO_CONSENSUS,KEEP,KEEP,False,False,bare:statement; ba:confirmation; ma:neutral
F21,KEEP,KEEP,KEEP,KEEP,True,False,bare:statement; ba:confirmation; ma:neutral
F22,NO_CONSENSUS,NO_CONSENSUS,NO_CONSENSUS,NO_CONSENSUS,False,False,bare:statement; ba:NONE; ma:neutral
F23,KEEP,KEEP,KEEP,KEEP,True,False,bare:statement; ba:confirmation; ma:neutral
F24,KEEP,KEEP,KEEP,KEEP,True,False,bare:statement; ba:confirmation; ma:neutral
F25,KEEP,NO_CONSENSUS,KEEP,KEEP,False,False,bare:statement; ba:confirmation; ma:neutral
F26,NO_CONSENSUS,COLLAPSE,KEEP,NO_CONSENSUS,False,False,bare:statement; ba:confirmation; ma:NONE
F27,KEEP,KEEP,KEEP,KEEP,True,False,bare:statement; ba:confirmation; ma:neutral
F28,KEEP,KEEP,KEEP,KEEP,True,False,bare:statement; ba:confirmation; ma:neutral
F29,NO_CONSENSUS,NO_CONSENSUS,NO_CONSENSUS,KEEP,False,False,bare:statement; ba:confirmation; ma:NONE
F30,KEEP,KEEP,KEEP,KEEP,True,False,bare:statement; ba:confirmation; ma:neutral
F31,COLLAPSE,NO_CONSENSUS,NO_CONSENSUS,NO_CONSENSUS,False,True,bare:distractor; ba:distractor; ma:confirmation
F32,KEEP,NO_CONSENSUS,KEEP,KEEP,False,False,bare:statement; ba:confirmation; ma:neutral
F33,COLLAPSE,NO_CONSENSUS,NO_CONSENSUS,NO_CONSENSUS,False,True,bare:statement; ba:statement; ma:confirmation
F34,KEEP,KEEP,KEEP,KEEP,True,False,bare:statement; ba:confirmation; ma:neutral
F35,KEEP,NO_CONSENSUS,NO_CONSENSUS,KEEP,False,False,bare:statement; ba:confirmation; ma:neutral
F36,KEEP,KEEP,KEEP,KEEP,True,False,bare:statement; ba:confirmation; ma:neutral
