condition,reference_label,target_label,count,share_among_disagreements,within_reference_rate,low_n
bare,statement,confirmation,0,0.0,0.0,True
bare,statement,neutral,0,0.0,0.0,True
bare,statement,distractor,0,0.0,0.0,True
bare,confirmation,statement,0,0.0,,True
bare,confirmation,neutral,0,0.0,,True
bare,confirmation,distractor,0,0.0,,True
bare,neutral,statement,0,0.0,,True
bare,neutral,confirmation,0,0.0,,True
bare,neutral,distractor,0,0.0,,True
bare,distractor,statement,1,1.0,1.0,True
bare,distractor,confirmation,0,0.0,0.0,True
bare,distractor,neutral,0,0.0,0.0,True
ba,statement,confirmation,7,0.7777777777777778,1.0,True
ba,statement,neutral,0,0.0,0.0,True
ba,statement,distractor,0,0.0,0.0,True
ba,confirmation,statement,1,0.1111111111111111,0.05263157894736842,True
ba,confirmation,neutral,0,0.0,0.0,True
ba,confirmation,distractor,0,0.0,0.0,True
ba,neutral,statement,0,0.0,0.0,True
ba,neutral,confirmation,1,0.1111111111111111,1.0,True
ba,neutral,distractor,0,0.0,0.0,True
ba,distractor,statement,0,0.0,0.0,True
ba,distractor,confirmation,0,0.0,0.0,True
ba,distractor,neutral,0,0.0,0.0,True
ma,statement,confirmation,0,0.0,,True
ma,statement,neutral,0,0.0,,True
ma,statement,distractor,0,0.0,,True
ma,confirmation,statement,0,0.0,0.0,True
ma,confirmation,neutral,4,0.4,0.8,True
ma,confirmation,distractor,0,0.0,0.0,True
ma,neutral,statement,0,0.0,0.0,True
ma,neutral,confirmation,5,0.5,0.25,True
ma,neutral,distractor,0,0.0,0.0,True
ma,distractor,statement,0,0.0,0.0,True
ma,distractor,confirmation,1,0.1,1.0,True
ma,distractor,neutral,0,0.0,0.0,True
overall,statement,confirmation,7,0.35,0.16666666666666666,True
overall,statement,neutral,0,0.0,0.0,True
overall,statement,distractor,0,0.0,0.0,True
overall,confirmation,statement,1,0.05,0.041666666666666664,True
overall,confirmation,neutral,4,0.2,0.16666666666666666,True
overall,confirmation,distractor,0,0.0,0.0,True
overall,neutral,statement,0,0.0,0.0,True
overall,neutral,confirmation,6,0.3,0.2857142857142857,True
overall,neutral,distractor,0,0.0,0.0,True
overall,distractor,statement,1,0.05,0.3333333333333333,True
overall,distractor,confirmation,1,0.05,0.3333333333333333,True
overall,distractor,neutral,0,0.0,0.0,True
