set,model,n_valid_pairs,n_used_target,used_target_rate,n_excluded_no_ablation_answer
confirmatory,deepseek-r1-0528,60,36,0.6,0
confirmatory,deepseek-v3,59,33,0.559322033898305,1
confirmatory,gemini-3-flash-preview,60,30,0.5,0
confirmatory,gemma-4-31b,25,12,0.48,35
confirmatory,mistral-small-3-24b,51,31,0.6078431372549019,9
confirmatory,qwen3-next-80b,60,34,0.5666666666666667,0
exploratory,deepseek-r1-0528,18,12,0.6666666666666666,0
exploratory,deepseek-v3,17,9,0.5294117647058824,1
exploratory,gemini-3-flash-preview,18,10,0.5555555555555556,0
exploratory,gemma-4-31b,7,5,0.7142857142857143,11
exploratory,mistral-small-3-24b,15,8,0.5333333333333333,3
exploratory,qwen3-next-80b,18,10,0.5555555555555556,0
