condition,reference_label,target_label,count,share_among_disagreements,within_reference_rate,low_n
bare,statement,confirmation,0,0.0,0.0,True
bare,statement,neutral,0,0.0,0.0,True
bare,statement,distractor,1,1.0,0.02857142857142857,True
bare,confirmation,statement,0,0.0,,True
bare,confirmation,neutral,0,0.0,,True
bare,confirmation,distractor,0,0.0,,True
bare,neutral,statement,0,0.0,,True
bare,neutral,confirmation,0,0.0,,True
bare,neutral,distractor,0,0.0,,True
bare,distractor,statement,0,0.0,0.0,True
bare,distractor,confirmation,0,0.0,0.0,True
bare,distractor,neutral,0,0.0,0.0,True
ba,statement,confirmation,2,0.15384615384615385,0.4,True
ba,statement,neutral,2,0.15384615384615385,0.4,True
ba,statement,distractor,0,0.0,0.0,True
ba,confirmation,statement,5,0.38461538461538464,0.2,True
ba,confirmation,neutral,3,0.23076923076923078,0.12,True
ba,confirmation,distractor,1,0.07692307692307693,0.04,True
ba,neutral,statement,0,0.0,,True
ba,neutral,confirmation,0,0.0,,True
ba,neutral,distractor,0,0.0,,True
ba,distractor,statement,0,0.0,0.0,True
ba,distractor,confirmation,0,0.0,0.0,True
ba,distractor,neutral,0,0.0,0.0,True
ma,statement,confirmation,0,0.0,,True
ma,statement,neutral,0,0.0,,True
ma,statement,distractor,0,0.0,,True
ma,confirmation,statement,1,0.09090909090909091,0.125,True
ma,confirmation,neutral,6,0.5454545454545454,0.75,True
ma,confirmation,distractor,0,0.0,0.0,True
ma,neutral,statement,0,0.0,0.0,True
ma,neutral,confirmation,1,0.09090909090909091,0.05,True
ma,neutral,distractor,3,0.2727272727272727,0.15,True
ma,distractor,statement,0,0.0,,True
ma,distractor,confirmation,0,0.0,,True
ma,distractor,neutral,0,0.0,,True
overall,statement,confirmation,2,0.08,0.05,True
overall,statement,neutral,2,0.08,0.05,True
overall,statement,distractor,1,0.04,0.025,True
overall,confirmation,statement,6,0.24,0.18181818181818182,True
overall,confirmation,neutral,9,0.36,0.2727272727272727,False
overall,confirmation,distractor,1,0.04,0.030303030303030304,True
overall,neutral,statement,0,0.0,0.0,True
overall,neutral,confirmation,1,0.04,0.05,True
overall,neutral,distractor,3,0.12,0.15,True
overall,distractor,statement,0,0.0,0.0,True
overall,distractor,confirmation,0,0.0,0.0,True
overall,distractor,neutral,0,0.0,0.0,True
