condition,reference_label,target_label,count,share_among_disagreements,within_reference_rate,low_n
bare,statement,confirmation,0,,0.0,True
bare,statement,neutral,0,,0.0,True
bare,statement,distractor,0,,0.0,True
bare,confirmation,statement,0,,,True
bare,confirmation,neutral,0,,,True
bare,confirmation,distractor,0,,,True
bare,neutral,statement,0,,,True
bare,neutral,confirmation,0,,,True
bare,neutral,distractor,0,,,True
bare,distractor,statement,0,,0.0,True
bare,distractor,confirmation,0,,0.0,True
bare,distractor,neutral,0,,0.0,True
ba,statement,confirmation,1,0.1,0.5,True
ba,statement,neutral,0,0.0,0.0,True
ba,statement,distractor,0,0.0,0.0,True
ba,confirmation,statement,3,0.3,0.13636363636363635,True
ba,confirmation,neutral,5,0.5,0.22727272727272727,True
ba,confirmation,distractor,0,0.0,0.0,True
ba,neutral,statement,0,0.0,,True
ba,neutral,confirmation,0,0.0,,True
ba,neutral,distractor,0,0.0,,True
ba,distractor,statement,0,0.0,0.0,True
ba,distractor,confirmation,0,0.0,0.0,True
ba,distractor,neutral,1,0.1,1.0,True
ma,statement,confirmation,0,0.0,,True
ma,statement,neutral,0,0.0,,True
ma,statement,distractor,0,0.0,,True
ma,confirmation,statement,0,0.0,0.0,True
ma,confirmation,neutral,3,0.42857142857142855,0.75,True
ma,confirmation,distractor,0,0.0,0.0,True
ma,neutral,statement,0,0.0,0.0,True
ma,neutral,confirmation,4,0.5714285714285714,0.21052631578947367,True
ma,neutral,distractor,0,0.0,0.0,True
ma,distractor,statement,0,0.0,,True
ma,distractor,confirmation,0,0.0,,True
ma,distractor,neutral,0,0.0,,True
overall,statement,confirmation,1,0.058823529411764705,0.02857142857142857,True
overall,statement,neutral,0,0.0,0.0,True
overall,statement,distractor,0,0.0,0.0,True
overall,confirmation,statement,3,0.17647058823529413,0.11538461538461539,True
overall,confirmation,neutral,8,0.47058823529411764,0.3076923076923077,False
overall,confirmation,distractor,0,0.0,0.0,True
overall,neutral,statement,0,0.0,0.0,True
overall,neutral,confirmation,4,0.23529411764705882,0.21052631578947367,True
overall,neutral,distractor,0,0.0,0.0,True
overall,distractor,statement,0,0.0,0.0,True
overall,distractor,confirmation,0,0.0,0.0,True
overall,distractor,neutral,1,0.058823529411764705,0.5,True
