set,family_id,item_id,condition,n_models,n_hit_gold,hit_rate,modal_choice,modal_choice_count,converged,shortcut_risk
confirmatory,F01,F01_bare,bare,6,0,0.0,D,4,True,False
confirmatory,F01,F01_ba,ba,6,4,0.6666666666666666,D,4,True,True
confirmatory,F01,F01_ma,ma,6,2,0.3333333333333333,D,4,True,False
confirmatory,F02,F02_bare,bare,6,0,0.0,B,2,False,False
confirmatory,F02,F02_ba,ba,6,2,0.3333333333333333,B,2,False,False
confirmatory,F02,F02_ma,ma,6,2,0.3333333333333333,B,2,False,False
confirmatory,F04,F04_bare,bare,6,0,0.0,C,3,False,False
confirmatory,F04,F04_ba,ba,6,5,0.8333333333333334,D,5,True,True
confirmatory,F04,F04_ma,ma,6,2,0.3333333333333333,D,4,True,False
confirmatory,F07,F07_bare,bare,6,1,0.16666666666666666,A,3,False,False
confirmatory,F07,F07_ba,ba,6,3,0.5,A,3,False,False
confirmatory,F07,F07_ma,ma,6,2,0.3333333333333333,A,2,False,False
confirmatory,F14,F14_bare,bare,6,0,0.0,C,3,False,False
confirmatory,F14,F14_ba,ba,6,4,0.6666666666666666,D,4,True,True
confirmatory,F14,F14_ma,ma,6,3,0.5,C,3,False,False
confirmatory,F15,F15_bare,bare,6,0,0.0,D,3,False,False
confirmatory,F15,F15_ba,ba,6,2,0.3333333333333333,D,3,False,False
confirmatory,F15,F15_ma,ma,6,4,0.6666666666666666,D,4,True,True
confirmatory,F16,F16_bare,bare,6,0,0.0,C,3,False,False
confirmatory,F16,F16_ba,ba,6,4,0.6666666666666666,C,4,True,True
confirmatory,F16,F16_ma,ma,6,1,0.16666666666666666,C,4,True,False
confirmatory,F17,F17_bare,bare,6,0,0.0,D,3,False,False
confirmatory,F17,F17_ba,ba,6,2,0.3333333333333333,D,3,False,False
confirmatory,F17,F17_ma,ma,6,3,0.5,D,3,False,False
confirmatory,F20,F20_bare,bare,6,0,0.0,C,3,False,False
confirmatory,F20,F20_ba,ba,6,4,0.6666666666666666,C,4,True,True
confirmatory,F20,F20_ma,ma,6,2,0.3333333333333333,C,3,False,False
confirmatory,F21,F21_bare,bare,6,1,0.16666666666666666,A,4,True,False
confirmatory,F21,F21_ba,ba,6,3,0.5,A,3,False,False
confirmatory,F21,F21_ma,ma,6,2,0.3333333333333333,A,2,False,False
confirmatory,F23,F23_bare,bare,6,0,0.0,D,3,False,False
confirmatory,F23,F23_ba,ba,6,3,0.5,A,3,False,False
