family_id,condition,has_majority,majority_label,design_gold_label,gold_shifted,majority_count,pool_size,margin
F01,bare,True,statement,statement,False,3,3,3
F01,ba,True,confirmation,confirmation,False,2,3,1
F01,ma,True,neutral,neutral,False,3,3,3
F02,bare,True,statement,statement,False,3,3,3
F02,ba,True,confirmation,confirmation,False,2,3,1
F02,ma,True,neutral,neutral,False,3,3,3
F03,bare,True,statement,statement,False,2,2,2
F03,ba,False,,confirmation,False,1,2,0
F03,ma,True,neutral,neutral,False,2,2,2
F04,bare,True,statement,statement,False,3,3,3
F04,ba,True,confirmation,confirmation,False,2,3,1
F04,ma,True,neutral,neutral,False,3,3,3
F05,bare,True,statement,statement,False,3,3,3
F05,ba,False,,confirmation,False,1,3,0
F05,ma,True,neutral,neutral,False,2,2,2
F06,bare,True,statement,statement,False,3,3,3
F06,ba,True,statement,confirmation,True,2,3,1
F06,ma,True,neutral,neutral,False,3,3,3
F07,bare,True,statement,statement,False,3,3,3
F07,ba,True,confirmation,confirmation,False,2,3,1
F07,ma,True,neutral,neutral,False,2,2,2
F08,bare,True,statement,statement,False,3,3,3
F08,ba,True,confirmation,confirmation,False,2,2,2
F08,ma,False,,neutral,False,1,2,0
F09,bare,True,statement,statement,False,3,3,3
F09,ba,True,confirmation,confirmation,False,2,3,1
F09,ma,True,distractor,neutral,True,2,3,1
F10,bare,True,statement,statement,False,3,3,3
F10,ba,False,,confirmation,False,1,3,0
F10,ma,True,neutral,neutral,False,2,3,1
F11,bare,True,statement,statement,False,3,3,3
F11,ba,True,confirmation,confirmation,False,2,3,1
F11,ma,True,confirmation,neutral,True,2,3,1
F12,bare,True,statement,statement,False,3,3,3
F12,ba,True,confirmation,confirmation,False,2,2,2
F12,ma,True,confirmation,neutral,True,3,3,3
F13,bare,True,statement,statement,False,3,3,3
F13,ba,True,confirmation,confirmation,False,3,3,3
F13,ma,True,confirmation,neutral,True,2,3,1
F14,bare,True,statement,statement,False,3,3,3
F14,ba,True,confirmation,confirmation,False,2,3,1
F14,ma,True,neutral,neutral,False,2,3,1
F15,bare,True,statement,statement,False,3,3,3
F15,ba,True,confirmation,confirmation,False,3,3,3
F15,ma,True,neutral,neutral,False,3,3,3
F16,bare,True,statement,statement,False,3,3,3
F16,ba,True,confirmation,confirmation,False,3,3,3
F16,ma,True,neutral,neutral,False,3,3,3
F17,bare,True,statement,statement,False,3,3,3
F17,ba,True,confirmation,confirmation,False,2,3,1
F17,ma,True,neutral,neutral,False,2,3,1
F18,bare,True,statement,statement,False,3,3,3
F18,ba,True,neutral,confirmation,True,2,3,1
F18,ma,True,neutral,neutral,False,3,3,3
F19,bare,True,statement,statement,False,3,3,3
F19,ba,True,confirmation,confirmation,False,2,3,1
F19,ma,False,,neutral,False,1,3,0
F20,bare,True,statement,statement,False,3,3,3
F20,ba,True,confirmation,confirmation,False,3,3,3
F20,ma,True,neutral,neutral,False,2,3,1
F21,bare,True,statement,statement,False,3,3,3
F21,ba,True,confirmation,confirmation,False,2,3,1
F21,ma,True,neutral,neutral,False,3,3,3
F22,bare,True,statement,statement,False,3,3,3
F22,ba,False,,confirmation,False,1,3,0
F22,ma,True,neutral,neutral,False,2,3,1
F23,bare,True,statement,statement,False,3,3,3
F23,ba,True,confirmation,confirmation,False,3,3,3
F23,ma,True,neutral,neutral,False,3,3,3
F24,bare,True,statement,statement,False,3,3,3
F24,ba,True,confirmation,confirmation,False,3,3,3
F24,ma,True,neutral,neutral,False,3,3,3
F25,bare,True,statement,statement,False,3,3,3
F25,ba,True,confirmation,confirmation,False,2,3,1
F25,ma,True,neutral,neutral,False,3,3,3
F26,bare,True,statement,statement,False,3,3,3
F26,ba,True,confirmation,confirmation,False,3,3,3
F26,ma,False,,neutral,False,1,2,0
F27,bare,True,statement,statement,False,3,3,3
F27,ba,True,confirmation,confirmation,False,2,3,1
F27,ma,True,neutral,neutral,False,3,3,3
F28,bare,True,statement,statement,False,3,3,3
F28,ba,True,confirmation,confirmation,False,2,3,1
F28,ma,True,neutral,neutral,False,2,2,2
F29,bare,True,statement,statement,False,2,3,1
F29,ba,True,confirmation,confirmation,False,3,3,3
F29,ma,False,,neutral,False,1,3,0
F30,bare,True,statement,statement,False,2,2,2
F30,ba,True,confirmation,confirmation,False,3,3,3
F30,ma,True,neutral,neutral,False,3,3,3
F31,bare,True,distractor,statement,True,2,3,1
F31,ba,True,distractor,confirmation,True,2,3,1
F31,ma,True,confirmation,neutral,True,2,3,1
F32,bare,True,statement,statement,False,3,3,3
F32,ba,True,confirmation,confirmation,False,2,3,1
F32,ma,True,neutral,neutral,False,2,2,2
F33,bare,True,statement,statement,False,3,3,3
F33,ba,True,statement,confirmation,True,2,3,1
F33,ma,True,confirmation,neutral,True,2,3,1
F34,bare,True,statement,statement,False,3,3,3
F34,ba,True,confirmation,confirmation,False,3,3,3
F34,ma,True,neutral,neutral,False,3,3,3
F35,bare,True,statement,statement,False,3,3,3
F35,ba,True,confirmation,confirmation,False,2,3,1
F35,ma,True,neutral,neutral,False,2,3,1
F36,bare,True,statement,statement,False,3,3,3
F36,ba,True,confirmation,confirmation,False,2,2,2
F36,ma,True,neutral,neutral,False,2,3,1
