set,model,n_valid_raw,accuracy_raw,n_updates,update_precision,n_updates_sensitivity,update_precision_sensitivity
confirmatory,deepseek-r1-0528,60,0.9,36,0.8888888888888888,17,0.8823529411764706
confirmatory,deepseek-v3,60,0.8,33,0.8181818181818182,14,0.9285714285714286
confirmatory,gemini-3-flash-preview,60,0.8166666666666667,30,1.0,15,1.0
confirmatory,gemma-4-31b,60,0.7833333333333333,12,0.8333333333333334,8,0.75
confirmatory,mistral-small-3-24b,60,0.9166666666666666,31,0.9354838709677419,12,1.0
confirmatory,qwen3-next-80b,60,0.7,34,0.7647058823529411,15,0.8
exploratory,deepseek-r1-0528,18,0.5,12,0.6666666666666666,,
exploratory,deepseek-v3,18,0.5555555555555556,9,0.8888888888888888,,
exploratory,gemini-3-flash-preview,18,0.6111111111111112,10,0.7,,
exploratory,gemma-4-31b,18,0.6111111111111112,5,0.6,,
exploratory,mistral-small-3-24b,18,0.6111111111111112,8,0.875,,
exploratory,qwen3-next-80b,18,0.5555555555555556,10,0.6,,
